date,ShortRate,ShortRate_Change,PolicyRate,PolicyRate_Change,RealGDP,RealGDP_Log,RealGDP_Log_Change,GDP Deflator_logged,GDP Deflators CPI Proxy,CPI,CPI Log Growth Rate
1960Q2,4.963333333333334,0.39333333333333353,5.333333333333333,0.33333333333333304,168948.0,12.037346254250528,-0.006918973303386977,1.677209463715215,0.01632768293328901,0.606980273141133,2.995428737355785
1960Q3,5.57,0.6066666666666665,6.0,0.666666666666667,171442.0,12.052000295968353,0.014654041717825805,1.67682794273936,-0.0003815209758550875,0.150829562594271,-1.3923458168032459
1960Q4,4.6933333333333325,-0.8766666666666678,5.333333333333333,-0.666666666666667,172382.0,12.05746822340813,0.005467927439775977,1.691078053151025,0.014250110411665018,1.05421686746988,1.9444029897647257
1961Q1,4.3533333333333335,-0.33999999999999897,5.0,-0.33333333333333304,175276.0,12.074117153379104,0.01664892997097489,1.699608840188077,0.008530787037051901,0.536512667660205,-0.6754632910885041
1961Q2,4.463333333333334,0.11000000000000032,5.0,0.0,175974.0,12.078091535834814,0.003974382455709247,1.6955121326714002,-0.004096707516676679,1.24518233026977,0.8419470747313267
1961Q3,6.646666666666667,2.1833333333333336,7.0,2.0,175126.0,12.07326099383,-0.004830542004812699,1.7345281964365973,0.03901606376519706,1.25915080527086,0.01115556046696653
1961Q4,5.506666666666667,-1.1400000000000006,6.166666666666667,-0.833333333333333,174768.0,12.071214659083324,-0.0020463347466765924,1.7247405823206876,-0.00978761411590967,1.12781954887219,-0.1101513638022498
1962Q1,5.06,-0.4466666666666672,5.666666666666667,-0.5,175568.0,12.075781711230581,0.004567052147256945,1.7337848089716383,0.009044226650950726,1.00228767515013,-0.1180011034691946
1962Q2,3.9299999999999997,-1.13,4.5,-1.166666666666667,177216.0,12.085124606530634,0.009342895300052945,1.7486767006590778,0.01489189168743943,2.1290751829674,0.7534026366295283
1962Q3,3.7600000000000002,-0.16999999999999948,4.5,0.0,178265.0,12.091026486208657,0.005901879678022581,1.7528503847060384,0.004173684046960613,-0.456026058631921,
1962Q4,3.7566666666666664,-0.0033333333333338544,4.5,0.0,177632.0,12.087469273489887,-0.00355721271876952,1.7608478197917046,0.007997435085666194,-0.0327225130890052,
1963Q1,3.56,-0.19666666666666632,4.0,-0.5,178493.0,12.092304663746601,0.004835390256713978,1.749502735465621,-0.01134508432608361,1.4729950900163702,
1963Q2,3.6833333333333336,0.12333333333333352,4.0,0.0,186171.0,12.134420885186227,0.04211622143962579,1.7581227592344673,0.008620023768846297,0.5806451612903221,-0.9309132507417003
