month,i_1YR,unempl,fxbis,gdp,corp_spread,mortg_spread,cred,equity,tb,CPI,us_baa,cm2,cloyne
1997-06,0.06662074,0.07,4.777422192782034,4.33927518574456,0.51384281296599,0.11000000000000038,3.8607189743427437,4.265783183150334,0.20686805808207254,1.8463371121298053,1.5266666666666666,0.05833,0.32324624069930835
1997-07,0.06911741,0.069,4.8136463722808385,4.3466955141371555,0.482519482825152,0.4400000000000001,3.864326663587569,4.293794216888914,0.24754315614709466,1.8444771757456815,1.5268181818181819,0.03484,0.5400617509962993
1997-08,0.06965386,0.067,4.794167828759198,4.341317544969308,0.490017262370065,0.6599999999999995,3.860859083124761,4.31747735766764,0.2003524941747754,1.8469553250198238,1.5180952380952382,-0.04388,0.27773442915457086
1997-09,0.06899683,0.065,4.777094243283318,4.350227013449656,0.488041454422585,1.1800000000000006,3.8633733141154414,4.331787420105285,0.2151908802586746,1.8488047010518038,1.5042857142857142,-0.018,-0.22670606257766462
1997-10,0.0692992,0.065,4.785342217851729,4.356817837237443,0.476160465544549,1.490000000000001,3.8591869374764403,4.35898233535405,0.18533743486698828,1.8488047010518038,1.5422727272727272,0.00742,-0.006774127193077357
1997-11,0.07123011,0.064,4.81459461415355,4.355768882274051,0.56512049919477,1.3800000000000008,3.872094433409536,4.3041374742844845,0.16384877249708918,1.8488047010518038,1.5438888888888889,0.03966,-0.2626475013602769
1997-12,0.07000917000000001,0.062,4.825747730079476,4.360305805031196,0.532275337538628,1.8799999999999997,3.8753954577454897,4.3445983833465425,0.20970017750172332,1.8494194137968993,1.5172727272727273,-0.04194,-0.5121038568312712
1998-01,0.06805924000000001,0.062,4.829801052333287,4.362329634143153,0.61045711814577,2.1500000000000004,3.883662865195022,4.372225932843861,0.21353459848108702,1.8469553250198238,1.652,-0.01161,-0.12603955688762658
1998-02,0.06750325,0.062,4.827386626922686,4.363947005831573,0.623214086584018,2.2000000000000006,3.8975716062535932,4.438834526918873,0.16263512361990617,1.8481891169913987,1.681578947368421,0.0125,0.01785696501202505
1998-03,0.06779109,0.062,4.842938799254864,4.369479239135719,0.595562641224239,2.2600000000000002,3.8942945225868306,4.4821988247334295,0.15002676979443663,1.8494194137968993,1.6718181818181819,-0.01839,0.07246468424895036
1998-04,0.06684642,0.062,4.84600511058801,4.371493260950569,0.657980445619013,2.43,3.901867961488875,4.503570707813204,0.16028188796528386,1.8518696007297664,1.6928571428571428,0.002,0.048069510822508106
1998-05,0.06695332999999999,0.061,4.816567234827139,4.370540587270817,0.637768336787255,2.3899999999999997,3.903231009204903,4.508914123205799,0.12592852308170244,1.8536982117761744,1.645,-0.01129,0.07614831243752451
1998-06,0.07043131,0.061,4.835308998456138,4.376424835634733,0.708643172542585,2.480000000000001,3.907441631230565,4.494961406869795,0.11913348620725017,1.8530895298518655,1.6377272727272727,0.192,0.3807560316744503
1998-07,0.07186324,0.061,4.8326751755686255,4.377712434991831,0.723287904085554,2.670000000000001,3.91951807459203,4.505176732534289,0.11754003308210059,1.8512583487190752,1.6877272727272727,0.02839,0.19566248375714218
1998-08,0.06925389,0.061,4.828010262739593,4.377478303793421,0.766467805687726,2.9300000000000006,3.921010286994092,4.428684877369123,0.1320754241877955,1.8524799936368563,1.8014285714285714,-0.06064,0.3076518066210115
1998-09,0.06408516,0.061,4.820579355223057,4.385783807842064,1.00278556905831,3.35,3.9300623006717963,4.348610089520811,0.09566906380911533,1.8543060418010806,2.2814285714285716,-0.01667,0.2210272108156353
1998-10,0.05956228,0.06,4.7959397364392915,4.388411048049092,1.38110765468366,3.4900000000000007,3.9331335100987306,4.323354302279272,0.1087775850223105,1.8543060418010806,2.6523809523809523,-0.01097,-0.04024402142931888
1998-11,0.0582365,0.06,4.791988914932603,4.392112279105382,1.2019220125263,3.3200000000000007,3.9323138766401455,4.418431155230506,0.09527801611630071,1.8549130223078556,2.5105263157894737,-0.03967,-0.2724061201078681
1998-12,0.053197419999999995,0.061,4.790209986671769,4.39394400006873,1.15815335231491,3.2300000000000004,3.934693261428816,4.4279917165280605,0.14253667787118474,1.8561244442423004,2.5813636363636365,-0.01935,-0.3691907704614315
1999-01,0.04973235,0.061,4.780940874044312,4.393398605620723,1.16958419084042,2.9599999999999995,3.9423228987460113,4.472997711413439,0.08226371335735472,1.8536982117761744,2.5657894736842106,-0.05484,0.11062705969111891
1999-02,0.04845384,0.06,4.791261554008306,4.396272051260537,1.07143716685828,2.5700000000000007,3.9495315296203026,4.488419175449914,0.08312175123674148,1.8543060418010806,2.39,-0.20535,-0.12919032067488823
1999-03,0.04825627,0.061,4.810003092470788,4.399555286919324,1.01287712540763,1.8399999999999999,3.946747524847599,4.518496093451233,0.09026982317967569,1.8567288903828827,2.301304347826087,0.08613,0.3060419055399996
1999-04,0.04835004,0.06,4.812538952455592,4.395105097212917,1.08179161699767,1.9100000000000006,3.9579073626862518,4.5648401487823165,0.09537116959006298,1.8585371975696392,2.2945454545454544,-0.02834,0.08566647275316502
1999-05,0.048913599999999995,0.06,4.820814861759451,4.409383466051158,1.07730261251014,1.3399999999999994,3.9589324232435805,4.551038427770391,0.1342744165247769,1.8597385661971468,2.1825,-0.01484,0.14943426850565683
1999-06,0.04872072,0.059000000000000004,4.823166881659882,4.410331080581718,1.1447896282613,0.8300000000000002,3.9686826691337496,4.56678678473853,0.08804299432613849,1.8591382972945307,2.1154545454545457,-0.033,-0.15970983347635653
1999-07,0.049197300000000006,0.059000000000000004,4.810479056306524,4.412101255791909,1.15648992717415,0.63,3.9694428508085653,4.572970682906503,0.0832569614407177,1.8567288903828827,2.156190476190476,-0.00064,0.25380773683757385
1999-08,0.05263466,0.057999999999999996,4.811430304891927,4.420156152921061,1.15271494025065,0.6900000000000011,3.979957826244527,4.545915990588685,0.11550355252097955,1.857935264719429,2.215,0.02,-0.3174342564086059
